Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""3000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.000.000 TL</strong>",16 Aralık 2024,130,140m²,3+1,2,4,,6-10 arası,İkinci El,,25.000  TL  (aylık),200  TL  (aylık),Kiracılı,Evet,,,Eşyasız,,,,,Ara Kat,Ankara
"<strong content=""7800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.800.000 TL</strong>",19 Kasım 2024,180,220m²,4+1,2,3,2,Between 11-15,Second Hand,Combi Boiler (Natural Gas),,250  TL  (aylık),Occupied By Property Owner,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""13500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">13.500.000 TL</strong>",19 Kasım 2024,,,,,,,,,,,,,Evet,,,,,,6,1305,,Ankara
"<strong content=""1600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.600.000 TL</strong>",19 Kasım 2024,1357,1400m²,3+1,1,1,,16-20 arası,İkinci El,Soba (Kömür),20.000  TL  (aylık),1  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,,Ankara
"<strong content=""8250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.250.000 TL</strong>",19 Kasım 2024,,,,,,,,,,,,,Hayır,Müstakil Parsel,,,Müstakil Parsel,,,,,Ankara
"<strong content=""38000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">38.000.000 TL</strong>",18 Aralık 2024,,,,,1,,31-35 arası,,Soba (Kömür),,,Boş,Evet,,,,,,,172,,Ankara
"<strong content=""2500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.500.000 TL</strong>",18 Aralık 2024,80,100m²,3+1,1,3,3,40 ve üzeri,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),200  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""12500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.500.000 TL</strong>",18 Aralık 2024,124,138m²,3+1,2,20 ve üzeri,6,,Sıfır,Merkezi Sistem (Isı Payı Ölçer),,3.500  TL  (aylık),Boş,Hayır,,,,,,,,Tek Kat,Ankara
"<strong content=""6965000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.965.000 TL</strong>",18 Aralık 2024,280,320m²,6+1,3,4,4,11-15 arası,İkinci El,Kombi (Doğalgaz),40.000  TL  (aylık),200  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""2200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.200.000 TL</strong>",18 Aralık 2024,125,140m²,3+1,1,4,4,16-20 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""7800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.800.000 TL</strong>",18 Aralık 2024,80,95m²,2+1,1,3,Yüksek Giriş,,Sıfır,Kombi (Doğalgaz),40.000  TL  (aylık),300  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""12000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.000.000 TL</strong>",18 Aralık 2024,290,300m²,5+1,3,6,4,26-30 arası,İkinci El,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""3200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.200.000 TL</strong>",18 Aralık 2024,100,110m²,2+1,1,5,4,26-30 arası,,Merkezi Sistem (Isı Payı Ölçer),,100  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
"<strong content=""1400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.400.000 TL</strong>",18 Aralık 2024,40,,,,2,1,21-25 arası,,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""1250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.250.000 TL</strong>",18 Aralık 2024,30,,,,3,Zemin Kat,,,Kombi (Doğalgaz),10.000  TL  (aylık),,Boş,Evet,,,,,,,,,Ankara
"<strong content=""3500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.500.000 TL</strong>",18 Aralık 2024,160,180m²,3+1,1,3,3,Between 11-15,Second Hand,Combi Boiler (Natural Gas),,80  TL  (aylık),Occupied By Property Owner,Yes,,,,,,,,Tek Kat,Ankara
"<strong content=""12200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.200.000 TL</strong>",18 Aralık 2024,160,,,,3,Giriş Katı,,,Kombi (Doğalgaz),,,Kiracılı,Evet,,,,,,,,,Ankara
"<strong content=""3700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.700.000 TL</strong>",18 Aralık 2024,140,145m²,3+1,2,3,2,,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""4750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.750.000 TL</strong>",18 Aralık 2024,75,90m²,2+1,1,5,Kot 1,16-20 arası,Sıfır,Yerden Isıtma,30.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""1620000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.620.000 TL</strong>",18 Aralık 2024,120,130m²,3+1,1,3,3,16-20 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""6100000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.100.000 TL</strong>",17 Aralık 2024,125,135m²,3+1,1,3,1,26-30 arası,İkinci El,Kombi (Doğalgaz),,200  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,Tek Kat,Ankara
"<strong content=""5340000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.340.000 TL</strong>",17 Aralık 2024,135,145m²,3+1,2,10,6,6-10 arası,İkinci El,Kombi (Doğalgaz),,100  TL  (aylık),Boş,Evet,,,,,,,,,Ankara
