Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""8150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.150.000 TL</strong>",12 Aralık 2024,150,160m²,3+1,2,2,2,16-20 arası,,,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,,Antalya
"<strong content=""17500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">17.500.000 TL</strong>",21 Kasım 2024,180,200m²,3+1,2,2,Müstakil,11-15 arası,,Yerden Isıtma,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,Bahçe Dubleksi,Antalya
"<strong content=""20500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">20.500.000 TL</strong>",3 Aralık 2024,,,,,,,,,,,,,Hayır,Müstakil Parsel,,,Müstakil Parsel,,,,,Antalya
"<strong content=""17500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">17.500.000 TL</strong>",4 Aralık 2024,180,200m²,3+1,2,2,,,,Yerden Isıtma,,,Boş,Evet,Kat Mülkiyeti,,,Kat Mülkiyeti,,,,,Antalya
"<strong content=""52000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">52.000.000 TL</strong>",17 Aralık 2024,380,500m²,4+1,4,2,,0,,Yerden Isıtma,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,,Antalya
"<strong content=""4450000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.450.000 TL</strong>",18 Aralık 2024,79,90m²,2+1,2,6,2,1,Sıfır,Klima,,750  TL  (aylık),,Evet,Kat Mülkiyeti,,Eşyalı (Mobilyalı),Kat Mülkiyeti,,,,Ara Kat,Antalya
"<strong content=""2730000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.730.000 TL</strong>",22 Kasım 2024,80,90m²,2+1,1,3,2,,,Klima,,,Boş,Evet,,,,,,,,Tek Kat,Antalya
"<strong content=""4999000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.999.000 TL</strong>",19 Kasım 2024,165,200m²,4+1,2,2,2,,Sıfır,Klima,,,Boş,Evet,,,,,,,,Dubleks,Antalya
"<strong content=""5650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.650.000 TL</strong>",19 Kasım 2024,121,130m²,2+1,2,10-20 arası,10,0,,Merkezi Sistem,0  TL  (aylık),2.000  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,,Antalya
"<strong content=""6200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.200.000 TL</strong>",18 Aralık 2024,160,180m²,3+1,2,4,4,0,Sıfır,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,,Antalya
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",18 Aralık 2024,160,190m²,3+1,2,3,Bahçe katı,6-10 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,,,Eşyasız,,,,,Bahçe Dubleksi,Antalya
"<strong content=""5950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.950.000 TL</strong>",18 Aralık 2024,165,180m²,3+1,2,10,4,16-20 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,,,Eşyasız,,,,,Ara Kat,Antalya
"<strong content=""3850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.850.000 TL</strong>",18 Aralık 2024,150,160m²,3+1,1,10-20 arası,8,11-15 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,,,Eşyasız,,,,,Ara Kat,Antalya
"<strong content=""2250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.250.000 TL</strong>",18 Aralık 2024,50,55m²,1+1,1,5,2,0,,Klima,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,Ara Kat,Antalya
"<strong content=""4950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.950.000 TL</strong>",18 Aralık 2024,125,135m²,2+1,2,4,4,6-10 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,,,Eşyasız,,,,,Çatı Dubleksi,Antalya
"<strong content=""5980000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.980.000 TL</strong>",18 Aralık 2024,150,160m²,3+1,2,8,1,16-20 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,Ara Kat,Antalya
"<strong content=""5980000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.980.000 TL</strong>",18 Aralık 2024,150,160m²,3+1,2,8,1,16-20 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Eşyasız,,,,,Ara Kat,Antalya
"<strong content=""9980000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.980.000 TL</strong>",18 Aralık 2024,200,220m²,4+1,2,3,Bahçe katı,11-15 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,,,Eşyasız,,,,,Bahçe Dubleksi,Antalya
"<strong content=""4250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.250.000 TL</strong>",18 Aralık 2024,85,95m²,2+1,1,4,Yüksek Giriş,6-10 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,,,Eşyasız,,,,,,Antalya
"<strong content=""2750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.750.000 TL</strong>",18 Aralık 2024,75,85m²,2+1,1,4,Ara Kat,,Sıfır,Klima,15.000  TL  (aylık),50  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Antalya
"<strong content=""4000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.000.000 TL</strong>",18 Aralık 2024,200,230m²,2+1,2,5,5,6-10 arası,Sıfır,Klima,,100  TL  (aylık),Boş,Evet,,,,,,,,Tek Kat,Antalya
"<strong content=""3860000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.860.000 TL</strong>",17 Aralık 2024,128,138m²,3+1,1,3,3,6-10 arası,Sıfır,Klima,,,Boş,Evet,,,,,,,,Tek Kat,Antalya
"<strong content=""3000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.000.000 TL</strong>",17 Aralık 2024,100,115m²,2+1,1,2,2,5,,Klima,,100  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,,Antalya
"<strong content=""9600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">9.600.000 TL</strong>",17 Aralık 2024,250,300m²,5+1,2,3,Bahçe katı,21-25 arası,,Klima,,,Mülk Sahibi,Evet,,,,,,,,,Antalya
"<strong content=""15000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">15.000.000 TL</strong>",17 Aralık 2024,450,460m²,10 ve üzeri,5,3,Bahçe katı,5,,Klima,,,Mülk Sahibi,Evet,,,,,,,,,Antalya
"<strong content=""4200000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.200.000 TL</strong>",17 Aralık 2024,150,160m²,3+1,1,2,Yüksek Giriş,3,,Klima,,,Mülk Sahibi,Evet,,,,,,,,,Antalya
"<strong content=""7500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.500.000 TL</strong>",17 Aralık 2024,220,240m²,5+1,3,4,Çatı Katı,5,,Klima,,500  TL  (aylık),Mülk Sahibi,Evet,,,,,,,,,Antalya
"<strong content=""5400000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.400.000 TL</strong>",16 Aralık 2024,195,225m²,4+1,1,4,3,5,,,25  TL  (aylık),50  TL  (aylık),Mülk Sahibi,Evet,Müstakil Parsel,,Eşyasız,Müstakil Parsel,Danışman,,,Dubleks,Antalya
"<strong content=""3500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.500.000 TL</strong>",16 Aralık 2024,60,75m²,2+1,1,4,Giriş Katı,0,Yapım Aşamasında,Klima,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,4699,,Antalya
"<strong content=""4250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.250.000 TL</strong>",14 Aralık 2024,95,110m²,2+1,2,2,2,,,Kalorifer (Doğalgaz),,,,Evet,,,,,,,,Ara Kat,Antalya
"<strong content=""6850000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.850.000 TL</strong>",14 Aralık 2024,160,180m²,3+1,1,8,5,Between 16-20,Second Hand,Air Conditioner,0  TL  (aylık),0  TL  (aylık),Occupied By Property Owner,Hayır,,,,,,,,,Antalya
"<strong content=""2600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.600.000 TL</strong>",14 Aralık 2024,104,125m²,2+1,1,2,Yüksek Giriş,6-10 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Hayır,,,,,,,,,Antalya
"<strong content=""12500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.500.000 TL</strong>",14 Aralık 2024,90,100m²,2+1,2,7,1,6-10 arası,İkinci El,Yerden Isıtma,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,Sadece Beyaz Eşya,,,,12820,,Antalya
"<strong content=""7500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.500.000 TL</strong>",14 Aralık 2024,220,,,,10-20 arası,Giriş Katı,21-25 arası,,Klima,0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,,,Antalya
"<strong content=""4750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.750.000 TL</strong>",14 Aralık 2024,125,145m²,3+1,2,5,2,,Sıfır,Yerden Isıtma,20.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Antalya
"<strong content=""8500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">8.500.000 TL</strong>",14 Aralık 2024,145,160m²,3+1,2,6,1,,Sıfır,Yerden Isıtma,25.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Antalya
"<strong content=""2600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.600.000 TL</strong>",14 Aralık 2024,104,125m²,2+1,1,2,Yüksek Giriş,5,İkinci El,Kombi (Doğalgaz),,,Boş,Hayır,,,,,,,,Tek Kat,Antalya
"<strong content=""2520000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.520.000 TL</strong>",14 Aralık 2024,100,120m²,2+1,1,4,Giriş Katı,36-40 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,,,Tek Kat,Antalya
"<strong content=""6250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.250.000 TL</strong>",13 Aralık 2024,180,200m²,4+1,3,,,,,Kombi (Doğalgaz),,,,Hayır,,,,,,,,Çatı Dubleksi,Antalya
