Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""3700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.700.000 TL</strong>",19 Aralık 2024,95,100m²,2+1,1,5,2,11-15 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),200  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Istanbul
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",18 Aralık 2024,95,120m²,3+1,2,9,2,31-35 arası,,Merkezi Sistem,0  TL  (aylık),0  TL  (aylık),Kiracılı,Evet,,,Eşyasız,,,,,Ara Kat,Istanbul
"<strong content=""5500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">5.500.000 TL</strong>",17 Aralık 2024,90,119m²,2+1,2,10-20 arası,10,0,Sıfır,Merkezi Sistem (Isı Payı Ölçer),0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,,,Istanbul
"<strong content=""2700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.700.000 TL</strong>",17 Aralık 2024,120,130m²,3+1,1,5,1,31-35 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),200  TL  (aylık),Mülk Sahibi,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Istanbul
"<strong content=""25000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">25.000.000 TL</strong>",16 Aralık 2024,160,189m²,3+1,2,4,Yüksek Giriş,21-25 arası,,Kombi (Doğalgaz),100.000  TL  (aylık),6.000  TL  (aylık),Kiracılı,Hayır,Hisseli Tapu,,Eşyasız,Hisseli Tapu,,,,,Istanbul
"<strong content=""56000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">56.000.000 TL</strong>",16 Aralık 2024,,,,,,,,,,,,,Hayır,,,,,,,,,Istanbul
"<strong content=""1900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.900.000 TL</strong>",13 Aralık 2024,80,85m²,2+1,1,4,4,6-10 arası,İkinci El,Kombi (Doğalgaz),15.000  TL  (aylık),,Boş,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""20800000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">20.800.000 TL</strong>",7 Aralık 2024,118,182m²,4+1,2,20 ve üzeri,20 ve üzeri,,Sıfır,Yerden Isıtma,,,Boş,Evet,,,,,,,,Tek Kat,Istanbul
"<strong content=""4750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.750.000 TL</strong>",22 Kasım 2024,75,90m²,2+1,1,4,3,16-20 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Kiracılı,Evet,Arsa Tapulu,,,Arsa Tapulu,Danışman,,,,Istanbul
"<strong content=""45000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">45.000.000 TL</strong>",21 Kasım 2024,,,,,,,,,,,,,Evet,,,,,Danışman,641,,,Istanbul
"<strong content=""53000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">53.000.000 TL</strong>",21 Kasım 2024,400,420m²,5+2,5,5,,11-15 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,,,,,,11,465,Tripleks,Istanbul
"<strong content=""1550000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.550.000 TL</strong>",19 Kasım 2024,50,65m²,2+1,1,6,Kot 1,11-15 arası,İkinci El,Kombi (Doğalgaz),,,Kiracılı,Evet,Kat İrtifakı,,Sadece Mutfak,Kat İrtifakı,Danışman,,,Ara Kat,Istanbul
"<strong content=""3700000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.700.000 TL</strong>",19 Kasım 2024,105,115m²,2+1,2,4,2,0,Sıfır,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,,,,Ara Kat,Istanbul
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",18 Aralık 2024,92,114m²,3+1,2,4,2,0,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,Kat İrtifakı,,,Kat İrtifakı,Danışman,,,Ara Kat,Istanbul
"<strong content=""3900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.900.000 TL</strong>",17 Aralık 2024,145,,,,3,Giriş Katı,6-10 arası,,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Kiracılı,Evet,,,,,,,,,Istanbul
"<strong content=""1650000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.650.000 TL</strong>",16 Aralık 2024,120,130m²,3+1,1,5,3,36-40 arası,İkinci El,Kombi (Doğalgaz),10.000  TL  (aylık),200  TL  (aylık),Mülk Sahibi,Hayır,Arsa Tapulu,,Eşyasız,Arsa Tapulu,Danışman,,,Ara Kat,Istanbul
