Fiyat,İlan Tarihi,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Yapının Durumu,Isıtma Tipi,Kira Getirisi,Aidat,Kullanım Durumu,Krediye Uygun,Tapu Durumu,Görüntülü Ev Gezintisi,Mobilya Durumu,Tapu Durumu,Kimden,Parsel,Ada,Konut Şekli,Sehir
"<strong content=""7250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">7.250.000 TL</strong>",17 Aralık 2024,175,190m²,4+1,2,6,2,,,Kalorifer (Doğalgaz),,,,Hayır,,,,,,,,,Izmir
"<strong content=""3500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.500.000 TL</strong>",15 Aralık 2024,90,95m²,2+1,1,5,2,6-10 arası,,Kombi (Doğalgaz),,,,Evet,,,,,Danışman,,,,Izmir
"<strong content=""10750000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">10.750.000 TL</strong>",13 Aralık 2024,146,180m²,4+1,2,5,5,31-35 arası,İkinci El,Kombi (Doğalgaz),,450  TL  (aylık),Boş,Evet,,,,,,8,9382,Tek Kat,Izmir
"<strong content=""2150000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.150.000 TL</strong>",24 Kasım 2024,75,80m²,2+1,1,3,3,5,,None,,,Occupied By Tenant,Yes,,,,,,,,,Izmir
"<strong content=""6500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">6.500.000 TL</strong>",19 Kasım 2024,90,1823m²,2+1,1,1,,2,İkinci El,Soba (Kömür),,,Mülk Sahibi,Evet,,,,,Danışman,,,,Izmir
"<strong content=""2950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.950.000 TL</strong>",19 Kasım 2024,95,110m²,2+1,1,5,3,31-35 arası,İkinci El,Kalorifer (Akaryakıt),0  TL  (aylık),100  TL  (aylık),Kiracılı,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,,Izmir
"<strong content=""3175000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.175.000 TL</strong>",16 Aralık 2024,130,140m²,3+1,1,4,3,21-25 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Kiracılı,Evet,,,Eşyasız,,,,,Ara Kat,Izmir
"<strong content=""3950000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.950.000 TL</strong>",19 Kasım 2024,140,150m²,3+1,1,4,4,26-30 arası,,Jeotermal,0  TL  (aylık),0  TL  (aylık),Kiracılı,Evet,,,Eşyasız,,,,,En Üst Kat,Izmir
"<strong content=""3500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.500.000 TL</strong>",17 Aralık 2024,68,78m²,1+1,1,5,,,,Kombi (Doğalgaz),,,,Hayır,,,,,,,,,Izmir
"<strong content=""18500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">18.500.000 TL</strong>",9 Aralık 2024,225,245m²,4+1,3,3,Bahçe katı,,,Yerden Isıtma,,,Boş,Evet,,,,,,,,,Izmir
"<strong content=""3600000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.600.000 TL</strong>",19 Kasım 2024,110,120m²,3+1,1,5,Çatı Katı,36-40 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Mülk Sahibi,Evet,,,Eşyasız,,Danışman,,,,Izmir
"<strong content=""1590000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.590.000 TL</strong>",19 Kasım 2024,70,75m²,2+1,1,3,Giriş Katı,6-10 arası,,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,,,Izmir
"<strong content=""1900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.900.000 TL</strong>",19 Kasım 2024,176,,,,1,Zemin Kat,,,Klima,0  TL  (aylık),2.400  TL  (aylık),Kiracılı,Hayır,Kat İrtifakı,,,Kat İrtifakı,Danışman,,,,Izmir
"<strong content=""1620000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">1.620.000 TL</strong>",19 Kasım 2024,45,50m²,1+1,1,4,Yüksek Giriş,0,Sıfır,Kombi (Doğalgaz),,,Boş,Evet,Kat İrtifakı,,Eşyasız,Kat İrtifakı,Danışman,,,Giriş Kat,Izmir
"<strong content=""11500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">11.500.000 TL</strong>",19 Kasım 2024,205,225m²,4+1,3,3,,0,,,0  TL  (aylık),0  TL  (aylık),,Evet,,,,,,,,,Izmir
"<strong content=""4350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">4.350.000 TL</strong>",19 Kasım 2024,,,,,,,,,,,,,Evet,Hisseli Tapu,,,Hisseli Tapu,Danışman,192,101,,Izmir
"<strong content=""12250000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.250.000 TL</strong>",19 Kasım 2024,215,225m²,4+1,3,3,Bahçe katı,0,,Kombi (Doğalgaz),0  TL  (aylık),0  TL  (aylık),Boş,Evet,,,,,,,,,Izmir
"<strong content=""3475000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">3.475.000 TL</strong>",18 Aralık 2024,120,160m²,3+1,2,4,Kot 1,6-10 arası,İkinci El,Kombi (Doğalgaz),20.000  TL  (aylık),70  TL  (aylık),Mülk Sahibi,Evet,Kat İrtifakı,,Eşyasız,Kat İrtifakı,Danışman,,,Bahçe Katı,Izmir
"<strong content=""12500000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">12.500.000 TL</strong>",18 Aralık 2024,130,167m²,3+1,2,7,En Üst Kat,1,Sıfır,Yerden Isıtma,,,Boş,Evet,,,,,,,,Tek Kat,Izmir
"<strong content=""2675000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.675.000 TL</strong>",17 Aralık 2024,110,125m²,3+1,1,10,1,21-25 arası,İkinci El,Kombi (Doğalgaz),,,Kiracılı,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Ara Kat,Izmir
"<strong content=""2350000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">2.350.000 TL</strong>",17 Aralık 2024,115,125m²,3+1,1,7,1,16-20 arası,İkinci El,Kombi (Doğalgaz),0  TL  (aylık),200  TL  (aylık),Kiracılı,Evet,Arsa Tapulu,,,Arsa Tapulu,,,,,Izmir
"<strong content=""10900000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">10.900.000 TL</strong>",17 Aralık 2024,129,251m²,2+1,2,2,Bahçe katı,6-10 arası,İkinci El,Kombi (Doğalgaz),,,Mülk Sahibi,Evet,Kat Mülkiyeti,,Eşyasız,Kat Mülkiyeti,Danışman,,,Bahçe Dubleksi,Izmir
"<strong content=""63000000"" data-zingalite=""
                            listing-detail-price"" itemprop=""price"">63.000.000 TL</strong>",17 Aralık 2024,,,,,3,,5,,Kombi (Doğalgaz),,,,Hayır,,,,,,,,,Izmir
